Text,Emotion,Translation,Emotion_Traduzida
i really hope im the only blogger they have treat this badly as i still feel super lousy about all and i wouldnt wish this crap on my worst enemy,happy,"Eu realmente espero que eu seja o único blogueiro que eles trataram tão mal, pois ainda me sinto super pé sobre tudo e eu não desejaria essa porcaria no meu pior inimigo",felicidade
i am feeling emotional about something or other positive or otherwise,sadness,Estou me sentindo emocionado com algo ou outro positivo ou não,tristeza
i feel terrible for him and want to cheer him up,sadness,Eu me sinto péssimo por ele e quero animá -lo,tristeza
i and fans cheering for penn state made me feel such a strong sense of belonging to the penn state family,happy,Eu e os fãs torcendo por Penn State me fizeram sentir um forte senso de pertencer à família Penn State,felicidade
i feel drained and depressed by it all,sadness,Eu me sinto drenado e deprimido por tudo,tristeza
i it seemed like forever i want to put my phone life in knowing loving feeling seeing believing trusting and caring for her,happy,Eu parecia uma eternidade que eu quero colocar minha vida telefônica em saber que é um amor de entender acreditando confiar e cuidar dela,felicidade
i get more angry at what you have done that i must tell you how i feel its not that you broke up with her but how you did it and the speed in which you made that decision,sadness,"Fico mais zangado com o que você fez e devo lhe dizer como me sinto que não é que você terminou com ela, mas como você fez isso e a velocidade em que você tomou essa decisão",tristeza
i honestly am not sure how i feel stunned,surprise,"Sinceramente, não tenho certeza de como me sinto atordoado",surpresa
i am feeling incredibly thankful for my family,happy,Estou me sentindo incrivelmente grato pela minha família,felicidade
i feel that as we study him we find that he was indeed a perfect example of what any christian and especially a latter day saint should be,happy,"Eu sinto que, ao estudamos, descobrimos que ele era realmente um exemplo perfeito do que qualquer cristão e especialmente um santo último",felicidade
im feeling better than expected,happy,Estou me sentindo melhor do que o esperado,felicidade
i were feeling pretty isolated and marginalised and my greatest enemy was the united states which is the only country to have ever deployed a nuclear weapon or two against civilians then i might just want to get one myself,sadness,"Eu estava me sentindo bastante isolado e marginalizado e meu maior inimigo foi os Estados Unidos, que é o único país a ter implantado uma arma nuclear ou duas contra civis, então eu poderia apenas querer conseguir um eu mesmo",tristeza
im still a little mixed on how i feel about him back especially because i liked the a href,love,"ainda estou um pouco confuso sobre como me sinto sobre ele, especialmente porque gostei do a href",amor
i feel pretty terrified about letting down all those good people kind enough to support my work,fear,Eu me sinto muito aterrorizado por decepcionar todas essas pessoas boas o suficiente para apoiar meu trabalho,medo
i am feeling generous so you can pick any reason you like but make sure you take your wise mothers advice so i dont feel the need to drag all this to court,happy,"Estou me sentindo generoso para que você possa escolher qualquer motivo que desejar, mas certifique -se de seguir seus conselhos sábios para as mães, para que eu não sinta a necessidade de arrastar tudo isso para o tribunal",felicidade
i was sad to see the demise of these as i feel in most respects they are far superior to the dvd,happy,"Fiquei triste ao ver o desaparecimento deles como sinto na maioria dos aspectos, eles são muito superiores ao DVD",felicidade
i love the feeling of aching oh what are those insipid things called on the front sides of my calves muscles and i love the fantasy that some day soon i will be featured in sports illustrated as the swimsuit model of the year maybe they will make a special issue for the baby boomers,sadness,"Eu amo a sensação de dor, oh, quais são essas coisas insípidas chamadas nos lados da frente dos músculos dos meus bezerros e eu amo a fantasia de que algum dia em breve eu aparecerei na Sports Illustrated como o modelo de maiô do ano, talvez eles façam uma edição especial para os baby boomers",tristeza
i feel so ugly and ashamed img src http s,sadness,Eu me sinto tão feia e envergonhada img src http s,tristeza
i secretly well i guess not secretly anymore feel insecure about this but at the same time want them to learn how to come up with common ground by themselves,fear,"Eu secretamente, acho que não me sinto secretamente, mas, ao mesmo tempo",medo
i am feeling lost for not being on a regimented strength program,sadness,Estou me sentindo perdido por não estar em um programa de força regimentado,tristeza
ive heard a lot of folks share frustrations with feeling inadequate after seeing so many pictures of perfection in projects and homes through blogs and pinterest etc,sadness,Eu ouvi muitas pessoas compartilharem frustrações com o sentimento inadequado depois de ver tantas fotos de perfeição em projetos e casas através de blogs e Pinterest etc.,tristeza
i feel so fucked up now i want to shut myself up,anger,Eu me sinto tão fodido agora eu quero me calar,raiva
i don t feel particularly inspired,happy,Não me sinto particularmente inspirado,felicidade
i think we i can get caught up in the nature of being busy of feeling the need to fill each moment with industry of some sort of occupying blank spaces with effort and chores,sadness,Acho que posso ser pego na natureza de estar ocupado de sentir a necessidade de preencher cada momento com algum tipo de ocupação de espaços em branco com esforço e tarefas,tristeza
i feel bitchy today its as if today i realized that i couldnt count on any of my friends anymore,anger,Eu me sinto mal,raiva
i feel very important in my fancy room with my fancy furniture and nice view of downtown dallas,happy,Eu me sinto muito importante no meu quarto chique com meus móveis sofisticados e boa vista do centro de Dallas,felicidade
i hate to interrupt you but the truth is i m feeling uncomfortable,fear,"Eu odeio interromper você, mas a verdade é que estou me sentindo desconfortável",medo
i am sleeping better but yet i feel even more exhausted than ever which i just dont understand,sadness,"Estou dormindo melhor, mas ainda me sinto ainda mais exausto do que nunca, o que simplesmente não entendo",tristeza
ive started feeling like almost nothing is worth getting agitated about,fear,Comecei a sentir que quase nada vale a pena ser agitado sobre,medo
i started to feel so overwhelmed,fear,Comecei a me sentir tão oprimido,medo
i go to sleep i feel as if i m giving up precious time to do something else with my life,happy,"Eu vou dormir, sinto como se estivesse desistindo de tempo precioso para fazer outra coisa com minha vida",felicidade
im feeling a bit lonely without comments to respond to c,sadness,Estou me sentindo um pouco sozinho sem comentários para responder a c,tristeza
i have already said i am one of many feeling threatened and attacked by the government and media of today and have had to look outside my own small life,fear,Eu já disse que sou um dos muitos me sentindo ameaçados e atacados pelo governo e pela mídia de hoje e tive que olhar para fora da minha pequena vida,medo
im back with another skincare review well actually i feel reluctant to make a review of sectret key snail egf repairing gel cream because i even stopped using it switched back to my second jar of a href http sparkleapple,fear,"Estou de volta com outra revisão da pele bem, na verdade, me sinto relutante em fazer uma revisão do creme de gel de gel de conserto do Sectret Key Snail, porque até parei de usá -lo voltado para o meu segundo pote de um href http sparkleapple",medo
Dotty flushed with annoya,anger,Dotty corado com aborrecimento,raiva
i even feel punished lately it s really not like that,sadness,Eu até me sinto punido ultimamente que realmente não é assim,tristeza
i begin feeling dull throbbing pain in my forefoot and after i am done running i have pain in the lateral area of my foot that was once broken,sadness,"Começo a sentir dor latejante no meu antepé e depois que terminei de correr, tenho dor na área lateral do meu pé que já foi quebrada",tristeza
ive been quite confident in what i believe for my whole life this occasionally over whelming feeling of uncertainty has truly shaken me to my core,fear,"Eu estive bastante confiante no que eu acredito durante toda a minha vida, ocasionalmente, sobre o sentimento de incerteza de Whelming, realmente me abalou no meu núcleo",medo
i get the feeling people think im very whiney which i know i am,sadness,Tenho a sensação de que as pessoas pensam que estou muito chorando que eu sei que sou,tristeza
i know that this is somewhat strange but i can feel that my cat is very unhappy and it is making me kind of sad,sadness,"Eu sei que isso é um pouco estranho, mas posso sentir que meu gato está muito infeliz e está me deixando meio triste",tristeza
i acted withdrawn and cold towards others in situations that required empathy its not that i dont care i just dont always feel the feelings so i fake it,sadness,"Eu agi retirado e frio em relação aos outros em situações que exigiam empatia, não é que eu não me importo, eu simplesmente nem sempre sinto os sentimentos, então eu fingi",tristeza
We shall find reason for disquiet about this argume,fear,Encontraremos motivos de inquietação sobre este argumento,medo
"My elation of the previous day began to evaporate until I remembered Agnes , the indentures I had signed , and the basic honesty of Ralemberg and de Ma",happy,"Minha alegria do dia anterior começou a evaporar até que eu me lembre de Agnes, os pedidos que assinei e a honestidade básica de Ralemberg e De Ma",felicidade
i don t feel bitter about my lot nor do i wish any other mother s son was in my place,anger,Não me sinto amargo com o meu lote nem gostaria que qualquer outra mãe estivesse em meu lugar,raiva
i have chose for myself that makes me feel amazing,happy,Eu escolhi por mim mesmo que me faz sentir incrível,felicidade
i feel frustrated about especially last night is not in doing all those things i actually enjoy them but in finding the time to do them,anger,"Sinto -me frustrado, especialmente na noite passada, não está fazendo todas aquelas coisas que eu realmente gosto delas, mas em encontrar tempo para fazê -las",raiva
i came back from the holidays feeling invigorated and inspired,happy,Voltei das férias me sentindo revigorada e inspirada,felicidade
i blamed the people around me for making me feel less valued for being a stay at home mom,happy,Eu culpei as pessoas ao meu redor por me fazer me sentir menos valorizado por ser uma mãe em casa,felicidade
i was expecting to say this is a very bittersweet feeling but all im feeling is bitter,anger,"Eu esperava dizer que essa é uma sensação muito agridoce, mas tudo estou sentindo é amargo",raiva
ive been honestly self indulgent and rather reckless with my consumption of caffeine cigarettes and junk food which combined with the dangerous ingredient of freezing weather has caused me to feel lethargic fat and unfit,sadness,"Eu fui honestamente auto -indulgente e bastante imprudente com o meu consumo de cigarros de cafeína e junk food, que combinados com o ingrediente perigoso do clima congelante me fez sentir gordura letárgica e imprópria",tristeza
i refuse to feel guilty,sadness,Eu me recuso a me sentir culpado,tristeza
i ask you when folks park why do they feel it is smart to park with only or inches separating your car from the one in front or behind you,happy,Pergunto -lhe quando as pessoas estacionam por que elas acham inteligente estacionar com apenas ou centímetros separando seu carro daquele na frente ou atrás de você,felicidade
im having ssa examination tomorrow in the morning im quite well prepared for the coming exam and somehow i feel numb towards exam because in life there is much more important things than exam,sadness,"Estou fazendo o exame da SSA amanhã de manhã estou muito bem preparado para o próximo exame e, de alguma forma, me sinto entorpecido no exame porque na vida há coisas muito mais importantes do que o exame",tristeza
i wasn t on a diet or looking to lose weight i just wanted to feel more energetic brighter less lethargic amp try to control my sugar cravings,happy,"Eu não estava em uma dieta ou procurando perder peso, eu só queria me sentir mais enérgica mais brilhante amplificador letárgico Tente controlar meus desejos de açúcar",felicidade
i feel so fake,sadness,Eu me sinto tão falso,tristeza
i have been asking myself some difficult questions in an attempt to understand why i feel this strange push and pull between different aspects of my life,fear,Eu tenho me feito algumas perguntas difíceis na tentativa de entender por que sinto esse empurrão estranho e puxar entre diferentes aspectos da minha vida,medo
i don t know but it seems important to them that i feel unwelcome,sadness,"Eu não sei, mas parece importante para eles que me sinto indesejável",tristeza
Yet they were not downhearte,sadness,"No entanto, eles não eram downhearte",tristeza
"He was on his feet , the chair toppling over behind him , his face livid , his knuckles white-ridged and aimed at ",anger,"Ele estava de pé, a cadeira caindo atrás dele, o rosto lívido, com os dedos brancos e apontados para",raiva
i did feel ecstatic as i no longer belong to that school,happy,Eu me senti em êxtase porque não pertenço mais a essa escola,felicidade
i can brandish this article at anyone who makes fun of me for staying in bed too late or whenever i feel tragic for staying up until,sadness,Eu posso brandir este artigo para quem tira sarro de mim por ficar na cama tarde demais ou sempre que me sinto trágico por ficar acordado até,tristeza
i would eventually go in to these stores but i had to work up a lot of courage and i would still feel super uncomfortable once inside which we all know is not normal for me,happy,"Eu acabaria entrando nessas lojas, mas tive que trabalhar muita coragem e ainda me sentiria super desconfortável uma vez dentro do qual todos sabemos que não é normal para mim",felicidade
i remember frequently feeling surprised by the statistic that of the population are hsps given that i almost never came across anyone who was an hsp,surprise,"Lembro -me de frequentemente me surpreender com a estatística de que da população são HSPs, uma vez que quase nunca me deparei com alguém que era um HSP",surpresa
i cant help it because of the way i feel around my family like pairs of eyes boring into my back and just observing me all the time,sadness,Não posso deixar de ajudar por causa da maneira como me sinto ao redor da minha família como pares de olhos nas minhas costas e apenas me observando o tempo todo,tristeza
i like to slump into when i m feeling precious,happy,Eu gosto de cair quando estou me sentindo precioso,felicidade
i have never spent that much on any cosmetic product before and i feel foolish for doing so but i love the way this stuff feels on my skin,sadness,"Eu nunca gastei muito em qualquer produto cosmético antes e me sinto tolo por fazer isso, mas eu amo o jeito que essas coisas parecem na minha pele",tristeza
i feel lousy and seem to have a frown i remember all the funny times and you just turn it upside down,sadness,"Eu me sinto péssimo e parece ter uma carranca, lembro -me de todos os momentos engraçados e você apenas virá de cabeça para baixo",tristeza
i went to bed feeling utterly miserable last night,sadness,Eu fui para a cama me sentindo totalmente infeliz na noite passada,tristeza
i can t stand it i feel like hes spying on me and not trusting me and above all of that i feel disrespect to my personality,happy,"Não aguento, sinto que ele está espionando comigo e não confiando em mim e, acima de tudo, sinto desrespeito à minha personalidade",felicidade
i have been perspiring like crazy even in school that makes me feel so dirty and muddy,sadness,Eu tenho suposto como louco mesmo na escola que me faz sentir tão sujo e enlameado,tristeza
i feel so helpless knowing i cant protect them and i worry about the others now,fear,Eu me sinto tão impotente sabendo que não posso protegê -los e me preocupo com os outros agora,medo
i feel like an awful lot has happened in the past week or so,sadness,Eu sinto que muito aconteceu na semana passada ou mais,tristeza
im feeling brave ill snatch him to on my lap and after a few seconds of struggling he completely relaxes and submits to mommy scratches,happy,"Estou me sentindo corajoso, eu o arrancará no meu colo e depois de alguns segundos de luta, ele relaxa completamente e se submete a arranhões da mamãe",felicidade
i feel like if people accepted that wed get along a lot better,love,Eu sinto que se as pessoas aceitas,amor
i feel jealous with them why they can,anger,Eu me sinto com ciúmes com eles por que eles podem,raiva
ive been thinking about it because recently theres been times ive been overwhelmed with gratitude to the point of tears and other times im thinking about it because im im feeling so incredibly ungrateful maybe also to the point of tears and wondering why,sadness,"Estive pensando sobre isso porque, recentemente, houve vezes que fiquei impressionado com a gratidão ao ponto de lágrimas e outras vezes estou pensando nisso porque estou me sentindo tão incrivelmente ingrato, talvez também até o ponto de lágrimas e me perguntendo por que",tristeza
i feel like we may be coming to the point in the tv series where the show is incredibly popular but sadly the writers are coming to the end of their story lines and soon there will be nothing left to keep the plot a float,happy,"Eu sinto que podemos estar chegando ao ponto da série de TV em que o programa é incrivelmente popular, mas infelizmente os escritores estão chegando ao fim de suas linhas de história e em breve não haverá mais nada para manter o enredo um flutuador",felicidade
i mean it was the same feeling i got around anthony and his dog weewee i know anthony probably has to give weewee up because he has dogs but that dog is devoted to anthony alone,love,"Quero dizer, foi o mesmo sentimento que eu peguei por Anthony e seu cachorro Weewee, eu sei que Anthony provavelmente tem que desistir de Weewee porque ele tem cães, mas esse cachorro é dedicado a Anthony sozinho",amor
i sound so entitled but you cant help but to feel disappointed even though you already knew you were going to be,sadness,"Eu pareço tão intitulado, mas você não pode deixar de me sentir decepcionado, mesmo que você já soubesse que ia ser",tristeza
i am feeling doubtful that nutritional methods alone will solve the problems,fear,Estou sentindo duvidoso que os métodos nutricionais por si só resolvam os problemas,medo
"` You think of everything , do n't you ? "" she said with a delighted sm",happy,"`Você pensa em tudo, não é? ""Ela disse com um SM encantado",felicidade
during the weekend at home,anger,Durante o fim de semana em casa,raiva
i am feeling super inspired for a few new projects too,happy,Estou me sentindo super inspirado para alguns novos projetos também,felicidade
im which turned out to be easy yummy and made me feel very clever as i was able to make sandwiches and soup out of the leftovers like my mum,happy,"IM que acabou sendo fácil gostoso e me fez sentir muito inteligente, pois consegui fazer sanduíches e sopa fora das sobras como minha mãe",felicidade
i was older i might not feel as frightened about spending the time i have left alone,fear,"Eu era mais velho, posso não me sentir tão assustado em passar o tempo que deixei sozinho",medo
i feel heartbroken again i feel dead inside lost angry at myself,sadness,"Sinto -me com o coração partido de novo, me sinto morto por dentro perdido com raiva de mim mesmo",tristeza
i dont know it if is the freshness of both but i feel more energetic during these seasons,happy,"Eu não sei se é o frescor de ambos, mas me sinto mais enérgico durante essas estações",felicidade
i feel like ive been so inspired and have been stretching myself in all kinds of directions but finally feel like setting down and going with the flow,happy,"Eu sinto que estive tão inspirado e tenho me estendido em todos os tipos de direções, mas finalmente sinto vontade de se afastar e seguir o fluxo",felicidade
i feel so selfish wanting him home his help getting the girls to bed,anger,Eu me sinto tão egoísta querendo -o em casa sua ajuda levando as meninas para a cama,raiva
i feel less bothered of things happening around me,anger,Eu me sinto menos incomodado com as coisas acontecendo ao meu redor,raiva
i know i feel a sense of obligation to be loyal to the us canada and taiwan depending on whether or not you think the last is a country,love,"Eu sei que sinto um senso de obrigação de ser leal aos EUA Canadá e Taiwan, dependendo se você acha que o último é um país",amor
i must feel hatred for the innocent deaths of all those americans,happy,Devo sentir ódio pelas mortes inocentes de todos aqueles americanos,felicidade
im finally feeling a little more productive,happy,Finalmente estou me sentindo um pouco mais produtivo,felicidade
i remember amsterdam where the circumstances were difficult and i was feeling melancholy,sadness,"Lembro -me de Amsterdã, onde as circunstâncias eram difíceis e eu estava me sentindo melancólica",tristeza
i feel a pain in my own heart as every priestess in the temple drops as every single ven who is devoted to talia loses their devotions and takes a rank of injury equal to their devotion,love,"Sinto uma dor em meu próprio coração, pois toda sacerdotisa no templo cai, pois todo ven que é dedicado a Talia perde suas devoções e leva um posto de lesão igual à sua devoção",amor
i should feel complimented or insulted,anger,Eu deveria me sentir elogiado ou insultado,raiva
ive spent way too much time feeling pain to the point that im frightened to leave myself open to it,fear,Eu gastei muito tempo sentindo dor a ponto de estar com medo de me deixar aberto a isso,medo
i feel funny without,surprise,Eu me sinto engraçado sem,surpresa
i do things according to my own feelings intuition disturbed by tuitions studies sci volunteer corps hauntings dogs charmed guitar piano horror movies thrillers mysteries lame movies lame cartoons any songs with good lyrics music,sadness,Eu faço as coisas de acordo com meus próprios sentimentos Intuição perturbada por estudos de estudos Sci Sci Corps Suttings Dogs Dogs Charmed Guitar Piano Filmes de terror Thrillers Misteries Filmes coxos desenhos animados Lame,tristeza
i can feel suffering and turmoil but it also feels the same,sadness,"Eu posso sentir sofrimento e turbulência, mas também parece o mesmo",tristeza
i was ready to go if need be and fortunately tim was feeling ok and feeling well enough to go,happy,Eu estava pronto para ir se necessário e felizmente Tim estava se sentindo bem e me sentindo bem o suficiente para ir,felicidade
i get it she feel betrayed and hurt,sadness,Entendi ela se sente traída e machucada,tristeza
i don t know why i feel so bashful defending it,fear,Eu não sei por que me sinto tão tímido defendendo,medo
i am not even sure how to formulate my thoughts since i just put it down and am feeling slightly overwhelmed,fear,"Eu nem tenho certeza de como formular meus pensamentos, já que eu apenas o coloquei e estou me sentindo um pouco sobrecarregado",medo
i feel it like a dull ache,sadness,Eu sinto isso como uma dor maçante,tristeza
i also feel slightly relieved that we didnt have it out with him about the racist language,happy,Também me sinto um pouco aliviado por não termos tido isso com ele sobre a língua racista,felicidade
i did things that i always wondered about and now feel remorseful for,sadness,Eu fiz coisas que sempre me perguntei e agora me sinto arrependido por,tristeza
im praying you didnt feel a thing and it was peaceful for you,happy,Estou rezando para que você não sentisse nada e foi pacífico para você,felicidade
i didnt feel like suffering through a sleepless night especially with my terrible allergies amp amp fever,sadness,"Eu não senti vontade de sofrer uma noite sem dormir, especialmente com minhas terríveis alergias amp amp amp febre",tristeza
i have been feeling listless and loopy,sadness,Eu tenho me sentido apático e louco,tristeza
i haven t seen her since they broke up but now i m in this class and she is here waving at me so i go and sit next to her and get out my stuff and talk to her but i feel really strange about it because she cheated on my friend which i really should have mentioned before,surprise,"Eu não a vi desde que eles terminaram, mas agora estou nesta aula e ela está aqui acenando comigo, então eu vou sentar ao lado dela e tirar minhas coisas e conversar com ela, mas me sinto muito estranho com isso porque ela traiu meu amigo que eu realmente deveria ter mencionado antes",surpresa
i feel that npr provides a valuable service,happy,Eu sinto que a NPR fornece um serviço valioso,felicidade
i then felt a feeling of awkwardness and discontent cuz he said yeah me too and not im sorry,sadness,"Eu então senti um sentimento de constrangimento e descontentamento porque ele disse sim, eu também e não sinto muito",tristeza
i am feeling pretty optimistic about the final product,happy,Estou me sentindo bastante otimista com o produto final,felicidade
i will try not to feel rushed along with others or busy myself with this or that,anger,Vou tentar não me sentir apressado junto com os outros ou me ocupando com isso ou que,raiva
i feel very graceful today,happy,Eu me sinto muito gracioso hoje,felicidade
im sure i will feel fine in the morning,happy,Tenho certeza que vou me sentir bem pela manhã,felicidade
i reckon you need to stop feeling bitter and be realistic,anger,Eu acho que você precisa parar de se sentir amargo e realista,raiva
i feel beaten and tattered and washed up and drowning and i rise up for air just for a moment just to hear a little praise and another wave or gust of wind knocks me down again,sadness,"Sinto -me espancado, esfarrapado e lavado e me afogar e me levanto para o ar por um momento apenas para ouvir um pouco de louvor e outra onda ou rajada de vento me derruba de novo",tristeza
i began to feel that it was shaken so badly that it would never be repaired,fear,Comecei a sentir que foi tão abalado que nunca seria reparado,medo
i feel like that wall is boring amp needs a pop of color,sadness,"Eu sinto que esse muro está chato, amplificador precisa de um toque de cor",tristeza
i feel like i still have some valuable information from that perspective,happy,Eu sinto que ainda tenho algumas informações valiosas dessa perspectiva,felicidade
"Without another word , Bert Rafferty gently picked up the frightened child and made towards the cli",fear,"Sem outra palavra, Bert Rafferty pegou suavemente a criança assustada e fez para a CLI",medo
im old enough that graduation and yk feels like just yesterday i find myself a bit stunned by this,surprise,"Tenho idade suficiente para que a graduação e YK pareça ontem, eu me sinto um pouco atordoado com isso",surpresa
i need to know that the pain i feel is not in vain and that there is a better and brighter day in my future,sadness,Eu preciso saber que a dor que sinto não é em vão e que há um dia melhor e mais brilhante no meu futuro,tristeza
im feeling ugly lately,sadness,Estou me sentindo feio ultimamente,tristeza
im sorry i have a really bad cold and im feeling bitchy cos i never got to go out drinking myself stupid with my best friends tonight,anger,"Me desculpe, eu tenho um resfriado muito ruim e estou me sentindo vadia porque nunca tenho que sair bebendo me estúpido com meus melhores amigos esta noite",raiva
i need these crutches but i feel like i cant help it i resigned myself to a position of being miserable so long ago that its taking me baby steps to realize i dont have to be,sadness,"Eu preciso dessas muletas, mas sinto que não posso deixar de me resignar a uma posição de estar infeliz há tanto tempo que está me levando a medidas de bebê para perceber que não tenho que ser",tristeza
i say to that because she definitely has a right to feel furious but i dont think ive threatened anyones life ever in anger,anger,"Eu digo isso porque ela definitivamente tem o direito de me sentir furioso, mas eu não acho que ameaitei a vida de ninguém com raiva",raiva
im not sure why i always feel reluctant to write nutrition health posts but i decided that those days are over,fear,"Não sei por que sempre me sinto relutante em escrever postagens de saúde nutricional, mas decidi que esses dias acabaram",medo
i feel like i am actually a creative person now,happy,Eu sinto que sou realmente uma pessoa criativa agora,felicidade
i will probably do but for some reason i feel a bit agitated by it all,fear,"Provavelmente vou fazer, mas por algum motivo me sinto um pouco agitado por tudo isso",medo
i have strong feelings about being faithful,love,Tenho fortes sentimentos sobre ser fiel,amor
